Machine ID,Duration (sec),ReasonCode,Lot ID,Product Code,Machine Group
M-202,557,Changeover,LOT-0004,PRD-A,GroupB
M-302,105,Material Shortage,LOT-0001,PRD-C,GroupC
M-103,43,Sensor Fault,LOT-0011,PRD-D,GroupA
M-302,829,PM-Scheduled,LOT-0005,PRD-B,GroupC
M-101,211,Material Shortage,LOT-0028,PRD-B,GroupA
M-101,340,Changeover,LOT-0023,PRD-B,GroupA
M-201,55,Sensor Fault,LOT-0036,PRD-D,GroupB
M-103,20,Power Blip,LOT-0011,PRD-B,GroupA
M-302,105,Jam,LOT-0027,PRD-B,GroupC
M-202,47,Jam,LOT-0025,PRD-A,GroupB
M-303,137,Jam,LOT-0023,PRD-C,GroupC
M-201,69,Jam,LOT-0026,PRD-C,GroupB
M-202,345,Material Shortage,LOT-0023,PRD-E,GroupB
M-302,117,Sensor Fault,LOT-0035,PRD-C,GroupC
M-101,154,Jam,LOT-0012,PRD-E,GroupA
M-202,172,Jam,LOT-0028,PRD-C,GroupB
M-301,823,Changeover,LOT-0008,PRD-D,GroupC
M-201,131,Jam,LOT-0001,PRD-E,GroupB
M-201,371,Changeover,LOT-0022,PRD-E,GroupB
M-301,25,Sensor Fault,LOT-0020,PRD-E,GroupC
M-202,51,Sensor Fault,LOT-0026,PRD-C,GroupB
M-103,117,Jam,LOT-0012,PRD-E,GroupA
M-202,300,Changeover,LOT-0020,PRD-C,GroupB
M-201,893,Changeover,LOT-0039,PRD-C,GroupB
M-303,518,Changeover,LOT-0033,PRD-D,GroupC
M-103,46,Sensor Fault,LOT-0033,PRD-E,GroupA
M-301,80,Jam,LOT-0020,PRD-B,GroupC
M-201,31,Jam,LOT-0016,PRD-D,GroupB
M-102,889,Changeover,LOT-0013,PRD-D,GroupA
M-303,451,Changeover,LOT-0001,PRD-A,GroupC
M-302,152,Jam,LOT-0030,PRD-A,GroupC
M-201,12,Power Blip,LOT-0030,PRD-B,GroupB
M-303,81,Sensor Fault,LOT-0039,PRD-C,GroupC
M-303,102,Sensor Fault,LOT-0033,PRD-D,GroupC
M-303,250,Quality Check,LOT-0031,PRD-D,GroupC
M-202,441,Operator Break,LOT-0034,PRD-D,GroupB
M-201,39,Jam,LOT-0019,PRD-B,GroupB
M-202,853,Changeover,LOT-0006,PRD-B,GroupB
M-103,59,Jam,LOT-0014,PRD-A,GroupA
M-302,855,Changeover,LOT-0030,PRD-D,GroupC
M-101,228,Jam,LOT-0025,PRD-E,GroupA
M-101,449,Material Shortage,LOT-0031,PRD-A,GroupA
M-301,119,Jam,LOT-0027,PRD-E,GroupC
M-201,579,Changeover,LOT-0028,PRD-D,GroupB
M-101,714,Changeover,LOT-0011,PRD-D,GroupA
M-103,606,Unplanned Stop,LOT-0002,PRD-D,GroupA
M-101,232,Jam,LOT-0009,PRD-D,GroupA
M-103,117,Jam,LOT-0021,PRD-B,GroupA
M-303,688,Changeover,LOT-0018,PRD-D,GroupC
M-202,541,Material Shortage,LOT-0002,PRD-E,GroupB
M-101,418,Unplanned Stop,LOT-0015,PRD-A,GroupA
M-101,426,Operator Break,LOT-0013,PRD-A,GroupA
M-103,141,Jam,LOT-0008,PRD-E,GroupA
M-201,562,Changeover,LOT-0024,PRD-B,GroupB
M-102,383,Operator Break,LOT-0020,PRD-A,GroupA
M-101,41,Power Blip,LOT-0025,PRD-D,GroupA
M-201,180,Jam,LOT-0016,PRD-A,GroupB
M-202,183,Material Shortage,LOT-0037,PRD-A,GroupB
M-301,679,Changeover,LOT-0005,PRD-E,GroupC
M-301,127,Jam,LOT-0032,PRD-A,GroupC
M-302,192,Adjustment,LOT-0030,PRD-B,GroupC
M-302,153,Jam,LOT-0018,PRD-E,GroupC
M-303,574,Changeover,LOT-0021,PRD-B,GroupC
M-102,135,Jam,LOT-0016,PRD-D,GroupA
M-302,806,Changeover,LOT-0021,PRD-B,GroupC
M-303,86,Jam,LOT-0022,PRD-C,GroupC
M-202,1658,PM-Scheduled,LOT-0013,PRD-A,GroupB
M-201,72,Sensor Fault,LOT-0036,PRD-B,GroupB
M-303,72,Sensor Fault,LOT-0029,PRD-A,GroupC
M-102,123,Jam,LOT-0016,PRD-C,GroupA
M-301,843,Changeover,LOT-0023,PRD-D,GroupC
M-301,764,Changeover,LOT-0018,PRD-C,GroupC
M-202,69,Jam,LOT-0021,PRD-A,GroupB
M-103,143,Jam,LOT-0018,PRD-E,GroupA
M-202,258,Unplanned Stop,LOT-0019,PRD-B,GroupB
M-301,23,Jam,LOT-0035,PRD-B,GroupC
M-202,33,Jam,LOT-0036,PRD-C,GroupB
M-103,106,Sensor Fault,LOT-0032,PRD-A,GroupA
M-101,1561,PM-Scheduled,LOT-0031,PRD-D,GroupA
M-301,33,Jam,LOT-0017,PRD-D,GroupC
M-102,470,Material Shortage,LOT-0032,PRD-A,GroupA
M-101,295,Jam,LOT-0020,PRD-A,GroupA
M-201,126,Jam,LOT-0039,PRD-E,GroupB
M-201,494,Operator Break,LOT-0029,PRD-D,GroupB
M-202,499,Material Shortage,LOT-0020,PRD-E,GroupB
M-101,104,Sensor Fault,LOT-0007,PRD-B,GroupA
M-201,40,Jam,LOT-0011,PRD-B,GroupB
M-103,920,PM-Scheduled,LOT-0001,PRD-D,GroupA
M-303,70,Sensor Fault,LOT-0019,PRD-A,GroupC
M-201,92,Jam,LOT-0030,PRD-A,GroupB
M-201,55,Power Blip,LOT-0038,PRD-B,GroupB
M-302,77,Jam,LOT-0010,PRD-C,GroupC
M-103,62,Jam,LOT-0020,PRD-E,GroupA
M-202,779,Changeover,LOT-0020,PRD-D,GroupB
M-202,805,Changeover,LOT-0029,PRD-A,GroupB
M-101,248,Quality Check,LOT-0021,PRD-E,GroupA
M-202,78,Jam,LOT-0037,PRD-E,GroupB
M-101,748,Unplanned Stop,LOT-0018,PRD-E,GroupA
M-101,389,Operator Break,LOT-0031,PRD-E,GroupA
M-303,16,Power Blip,LOT-0038,PRD-D,GroupC
M-303,150,Adjustment,LOT-0023,PRD-D,GroupC
M-301,407,Changeover,LOT-0011,PRD-C,GroupC
M-302,46,Sensor Fault,LOT-0026,PRD-E,GroupC
M-101,622,Changeover,LOT-0017,PRD-C,GroupA
M-102,473,Unplanned Stop,LOT-0033,PRD-A,GroupA
M-303,492,Changeover,LOT-0034,PRD-C,GroupC
M-303,107,Sensor Fault,LOT-0004,PRD-B,GroupC
M-202,594,Changeover,LOT-0029,PRD-D,GroupB
M-102,175,Jam,LOT-0016,PRD-B,GroupA
M-202,1731,PM-Scheduled,LOT-0027,PRD-A,GroupB
M-201,176,Unplanned Stop,LOT-0030,PRD-A,GroupB
M-103,598,Changeover,LOT-0033,PRD-C,GroupA
M-302,543,Material Shortage,LOT-0016,PRD-D,GroupC
M-103,820,Changeover,LOT-0009,PRD-A,GroupA
M-202,512,Operator Break,LOT-0022,PRD-E,GroupB
M-202,349,Material Shortage,LOT-0020,PRD-E,GroupB
M-303,517,Material Shortage,LOT-0035,PRD-D,GroupC
M-301,856,Changeover,LOT-0025,PRD-D,GroupC
M-301,304,Material Shortage,LOT-0037,PRD-D,GroupC
M-201,480,Material Shortage,LOT-0003,PRD-C,GroupB
M-303,113,Sensor Fault,LOT-0025,PRD-D,GroupC
M-103,337,Changeover,LOT-0009,PRD-E,GroupA
M-301,510,Material Shortage,LOT-0007,PRD-E,GroupC
M-303,56,Jam,LOT-0027,PRD-B,GroupC
M-102,571,Changeover,LOT-0022,PRD-E,GroupA
M-302,119,Sensor Fault,LOT-0022,PRD-E,GroupC
M-302,190,Adjustment,LOT-0032,PRD-E,GroupC
M-101,40,Sensor Fault,LOT-0019,PRD-B,GroupA
M-102,400,Changeover,LOT-0007,PRD-D,GroupA
M-103,13,Sensor Fault,LOT-0003,PRD-C,GroupA
M-101,207,Jam,LOT-0028,PRD-B,GroupA
M-201,879,Changeover,LOT-0012,PRD-B,GroupB
M-103,117,Jam,LOT-0040,PRD-B,GroupA
M-303,14,Power Blip,LOT-0015,PRD-D,GroupC
M-202,309,Changeover,LOT-0030,PRD-C,GroupB
M-103,108,Jam,LOT-0038,PRD-C,GroupA
M-302,68,Sensor Fault,LOT-0020,PRD-B,GroupC
M-302,169,Material Shortage,LOT-0016,PRD-D,GroupC
M-301,1204,PM-Scheduled,LOT-0002,PRD-D,GroupC
M-202,32,Jam,LOT-0039,PRD-D,GroupB
M-202,417,Operator Break,LOT-0039,PRD-C,GroupB
M-201,89,Sensor Fault,LOT-0017,PRD-B,GroupB
M-102,46,Power Blip,LOT-0003,PRD-C,GroupA
M-303,113,Jam,LOT-0009,PRD-A,GroupC
M-202,725,Changeover,LOT-0012,PRD-B,GroupB
M-103,434,Material Shortage,LOT-0034,PRD-E,GroupA
M-202,323,Material Shortage,LOT-0031,PRD-C,GroupB
M-301,539,Material Shortage,LOT-0005,PRD-B,GroupC
M-201,466,Material Shortage,LOT-0036,PRD-C,GroupB
M-102,74,Material Shortage,LOT-0017,PRD-E,GroupA
M-102,568,Changeover,LOT-0038,PRD-D,GroupA
M-301,79,Jam,LOT-0031,PRD-A,GroupC
M-301,19,Power Blip,LOT-0005,PRD-D,GroupC
M-202,24,Sensor Fault,LOT-0009,PRD-A,GroupB
M-101,804,Changeover,LOT-0008,PRD-A,GroupA
M-201,94,Quality Check,LOT-0025,PRD-D,GroupB
M-301,105,Sensor Fault,LOT-0035,PRD-D,GroupC
M-103,227,Quality Check,LOT-0007,PRD-D,GroupA
M-302,22,Power Blip,LOT-0003,PRD-C,GroupC
M-201,541,Changeover,LOT-0024,PRD-A,GroupB
M-301,667,Changeover,LOT-0004,PRD-D,GroupC
M-202,51,Jam,LOT-0030,PRD-A,GroupB
M-201,86,Sensor Fault,LOT-0002,PRD-A,GroupB
M-301,52,Jam,LOT-0037,PRD-B,GroupC
M-102,272,Material Shortage,LOT-0038,PRD-B,GroupA
M-201,451,Changeover,LOT-0039,PRD-A,GroupB
M-202,208,Material Shortage,LOT-0009,PRD-E,GroupB
M-202,172,Material Shortage,LOT-0002,PRD-B,GroupB
M-101,543,Changeover,LOT-0038,PRD-C,GroupA
M-101,59,Jam,LOT-0009,PRD-D,GroupA
M-102,70,Sensor Fault,LOT-0029,PRD-C,GroupA
M-102,526,Changeover,LOT-0040,PRD-A,GroupA
M-202,331,Changeover,LOT-0004,PRD-D,GroupB
M-302,410,Changeover,LOT-0032,PRD-D,GroupC
M-102,142,Quality Check,LOT-0039,PRD-B,GroupA
M-102,179,Jam,LOT-0038,PRD-E,GroupA
M-301,843,Changeover,LOT-0019,PRD-D,GroupC
M-302,49,Jam,LOT-0036,PRD-B,GroupC
M-302,533,Changeover,LOT-0027,PRD-C,GroupC
M-303,397,Changeover,LOT-0021,PRD-D,GroupC
M-301,57,Sensor Fault,LOT-0010,PRD-D,GroupC
M-102,41,Jam,LOT-0006,PRD-D,GroupA
M-102,57,Sensor Fault,LOT-0009,PRD-E,GroupA
M-101,1750,PM-Scheduled,LOT-0036,PRD-C,GroupA
M-102,733,Changeover,LOT-0004,PRD-C,GroupA
M-202,891,Changeover,LOT-0033,PRD-B,GroupB
M-103,38,Sensor Fault,LOT-0007,PRD-C,GroupA
M-301,91,Jam,LOT-0037,PRD-B,GroupC
M-302,86,Material Shortage,LOT-0039,PRD-C,GroupC
M-101,178,Jam,LOT-0022,PRD-C,GroupA
M-101,100,Jam,LOT-0037,PRD-D,GroupA
M-102,27,Jam,LOT-0006,PRD-E,GroupA
M-201,764,Changeover,LOT-0022,PRD-B,GroupB
M-301,632,Changeover,LOT-0037,PRD-E,GroupC
M-102,99,Quality Check,LOT-0011,PRD-E,GroupA
M-101,44,Sensor Fault,LOT-0029,PRD-D,GroupA
M-303,63,Sensor Fault,LOT-0018,PRD-B,GroupC
M-102,413,Changeover,LOT-0019,PRD-E,GroupA
M-303,615,Changeover,LOT-0003,PRD-B,GroupC
M-302,116,Unplanned Stop,LOT-0001,PRD-B,GroupC
M-202,226,Adjustment,LOT-0009,PRD-C,GroupB
M-202,307,Changeover,LOT-0032,PRD-D,GroupB
M-103,156,Jam,LOT-0015,PRD-E,GroupA
M-301,30,Jam,LOT-0028,PRD-A,GroupC
M-303,60,Power Blip,LOT-0021,PRD-E,GroupC
M-302,1455,PM-Scheduled,LOT-0019,PRD-A,GroupC
M-302,103,Jam,LOT-0011,PRD-E,GroupC
M-303,430,Material Shortage,LOT-0006,PRD-D,GroupC
M-102,170,Jam,LOT-0026,PRD-E,GroupA
M-102,617,Changeover,LOT-0022,PRD-B,GroupA
M-301,339,Operator Break,LOT-0033,PRD-A,GroupC
M-201,27,Power Blip,LOT-0023,PRD-B,GroupB
M-201,85,Jam,LOT-0013,PRD-B,GroupB
M-103,338,Operator Break,LOT-0012,PRD-D,GroupA
M-303,596,Operator Break,LOT-0029,PRD-E,GroupC
M-301,383,Material Shortage,LOT-0010,PRD-D,GroupC
M-102,610,Changeover,LOT-0018,PRD-E,GroupA
M-101,375,Changeover,LOT-0020,PRD-D,GroupA
M-303,114,Jam,LOT-0019,PRD-A,GroupC
M-102,74,Sensor Fault,LOT-0025,PRD-D,GroupA
M-101,885,Changeover,LOT-0013,PRD-C,GroupA
M-303,363,Changeover,LOT-0029,PRD-A,GroupC
M-301,321,Unplanned Stop,LOT-0033,PRD-B,GroupC
M-101,237,Jam,LOT-0029,PRD-E,GroupA
M-103,589,Changeover,LOT-0025,PRD-D,GroupA
M-301,16,Sensor Fault,LOT-0022,PRD-A,GroupC
M-301,118,Jam,LOT-0019,PRD-C,GroupC
M-103,896,Changeover,LOT-0010,PRD-C,GroupA
M-202,208,Adjustment,LOT-0026,PRD-B,GroupB
M-102,685,Changeover,LOT-0022,PRD-B,GroupA
M-102,64,Sensor Fault,LOT-0033,PRD-C,GroupA
M-101,484,Changeover,LOT-0014,PRD-C,GroupA
M-303,55,Jam,LOT-0010,PRD-A,GroupC
M-202,163,Material Shortage,LOT-0033,PRD-E,GroupB
M-101,108,Sensor Fault,LOT-0040,PRD-B,GroupA
M-302,66,Jam,LOT-0040,PRD-B,GroupC
M-303,113,Jam,LOT-0016,PRD-D,GroupC
M-202,529,Operator Break,LOT-0015,PRD-E,GroupB
M-201,780,Changeover,LOT-0013,PRD-C,GroupB
M-303,588,Changeover,LOT-0025,PRD-E,GroupC
M-302,239,Adjustment,LOT-0013,PRD-E,GroupC
M-103,113,Material Shortage,LOT-0031,PRD-C,GroupA
M-102,76,Sensor Fault,LOT-0008,PRD-C,GroupA
M-102,439,Operator Break,LOT-0029,PRD-E,GroupA
M-103,153,Material Shortage,LOT-0015,PRD-D,GroupA
M-301,31,Power Blip,LOT-0004,PRD-D,GroupC
M-301,40,Jam,LOT-0024,PRD-B,GroupC
M-101,401,Changeover,LOT-0022,PRD-B,GroupA
M-103,140,Jam,LOT-0009,PRD-D,GroupA
M-303,20,Sensor Fault,LOT-0002,PRD-C,GroupC
M-201,600,Material Shortage,LOT-0028,PRD-A,GroupB
M-202,51,Jam,LOT-0004,PRD-B,GroupB
M-302,89,Sensor Fault,LOT-0030,PRD-A,GroupC
M-102,571,Material Shortage,LOT-0039,PRD-E,GroupA
M-101,83,Sensor Fault,LOT-0016,PRD-B,GroupA
M-202,661,Changeover,LOT-0016,PRD-E,GroupB
M-302,41,Jam,LOT-0034,PRD-C,GroupC
M-102,169,Adjustment,LOT-0033,PRD-E,GroupA
M-101,781,Changeover,LOT-0003,PRD-D,GroupA
M-301,24,Jam,LOT-0023,PRD-A,GroupC
M-301,180,Jam,LOT-0007,PRD-E,GroupC
M-301,110,Jam,LOT-0035,PRD-C,GroupC
M-103,535,Material Shortage,LOT-0031,PRD-B,GroupA
M-103,137,Jam,LOT-0003,PRD-C,GroupA
M-201,71,Jam,LOT-0003,PRD-C,GroupB
M-202,856,Changeover,LOT-0031,PRD-C,GroupB
M-101,397,Operator Break,LOT-0019,PRD-C,GroupA
M-101,399,Material Shortage,LOT-0018,PRD-A,GroupA
M-301,709,Changeover,LOT-0029,PRD-D,GroupC
M-301,1249,Unplanned Stop,LOT-0032,PRD-C,GroupC
M-202,494,Material Shortage,LOT-0006,PRD-D,GroupB
M-103,628,Changeover,LOT-0007,PRD-A,GroupA
M-301,49,Sensor Fault,LOT-0029,PRD-E,GroupC
M-302,133,Jam,LOT-0023,PRD-D,GroupC
M-101,55,Sensor Fault,LOT-0040,PRD-D,GroupA
M-202,111,Sensor Fault,LOT-0004,PRD-A,GroupB
M-302,463,Changeover,LOT-0002,PRD-B,GroupC
M-303,37,Jam,LOT-0016,PRD-C,GroupC
M-301,880,Changeover,LOT-0003,PRD-E,GroupC
M-103,57,Sensor Fault,LOT-0024,PRD-D,GroupA
M-102,1684,PM-Scheduled,LOT-0024,PRD-D,GroupA
M-301,41,Sensor Fault,LOT-0008,PRD-A,GroupC
M-103,696,Changeover,LOT-0036,PRD-A,GroupA
M-202,528,Operator Break,LOT-0014,PRD-E,GroupB
M-202,72,Sensor Fault,LOT-0013,PRD-A,GroupB
M-103,522,Material Shortage,LOT-0012,PRD-D,GroupA
M-102,387,Material Shortage,LOT-0023,PRD-A,GroupA
M-202,277,Quality Check,LOT-0011,PRD-B,GroupB
M-301,424,Changeover,LOT-0013,PRD-B,GroupC
M-201,86,Material Shortage,LOT-0024,PRD-E,GroupB
M-301,864,Changeover,LOT-0009,PRD-E,GroupC
M-102,121,Jam,LOT-0031,PRD-E,GroupA
M-302,594,Operator Break,LOT-0005,PRD-B,GroupC
M-301,67,Sensor Fault,LOT-0030,PRD-E,GroupC
M-301,161,Jam,LOT-0038,PRD-B,GroupC
M-103,356,Changeover,LOT-0008,PRD-E,GroupA
M-103,465,Changeover,LOT-0021,PRD-B,GroupA
M-301,162,Adjustment,LOT-0019,PRD-A,GroupC
M-202,161,Jam,LOT-0018,PRD-B,GroupB
M-202,21,Sensor Fault,LOT-0033,PRD-B,GroupB
M-103,179,Jam,LOT-0039,PRD-C,GroupA
M-101,89,Material Shortage,LOT-0006,PRD-A,GroupA
M-202,108,Sensor Fault,LOT-0037,PRD-D,GroupB
M-101,858,Changeover,LOT-0019,PRD-C,GroupA
M-303,123,Jam,LOT-0020,PRD-D,GroupC
M-102,30,Sensor Fault,LOT-0029,PRD-D,GroupA
M-303,648,Changeover,LOT-0039,PRD-B,GroupC
M-301,386,Material Shortage,LOT-0023,PRD-D,GroupC
M-103,563,Operator Break,LOT-0036,PRD-A,GroupA
M-301,51,Jam,LOT-0018,PRD-D,GroupC
M-201,32,Jam,LOT-0019,PRD-D,GroupB
M-302,60,Jam,LOT-0021,PRD-E,GroupC
M-301,60,Jam,LOT-0032,PRD-E,GroupC
M-303,615,Changeover,LOT-0032,PRD-A,GroupC
M-102,159,Adjustment,LOT-0030,PRD-B,GroupA
M-201,699,PM-Scheduled,LOT-0004,PRD-C,GroupB
M-303,1563,PM-Scheduled,LOT-0019,PRD-E,GroupC
M-101,501,Material Shortage,LOT-0009,PRD-C,GroupA
M-301,487,Operator Break,LOT-0003,PRD-D,GroupC
M-101,998,PM-Scheduled,LOT-0024,PRD-E,GroupA
M-202,149,Jam,LOT-0029,PRD-E,GroupB
M-202,181,Material Shortage,LOT-0009,PRD-A,GroupB
M-302,647,Changeover,LOT-0036,PRD-C,GroupC
M-103,150,Jam,LOT-0026,PRD-E,GroupA
M-101,99,Jam,LOT-0022,PRD-D,GroupA
M-303,151,Jam,LOT-0009,PRD-C,GroupC
M-301,177,Jam,LOT-0020,PRD-E,GroupC
M-301,821,Changeover,LOT-0035,PRD-D,GroupC
M-202,317,Changeover,LOT-0024,PRD-C,GroupB
M-102,657,Unplanned Stop,LOT-0020,PRD-A,GroupA
M-303,168,Jam,LOT-0037,PRD-B,GroupC
M-101,949,PM-Scheduled,LOT-0034,PRD-E,GroupA
M-302,82,Jam,LOT-0003,PRD-E,GroupC
M-102,132,Jam,LOT-0021,PRD-D,GroupA
M-103,508,Changeover,LOT-0027,PRD-E,GroupA
M-303,123,Material Shortage,LOT-0009,PRD-E,GroupC
M-201,1579,PM-Scheduled,LOT-0034,PRD-D,GroupB
M-301,147,Adjustment,LOT-0035,PRD-C,GroupC
M-301,102,Sensor Fault,LOT-0017,PRD-E,GroupC
M-303,83,Jam,LOT-0018,PRD-E,GroupC
M-202,96,Jam,LOT-0019,PRD-B,GroupB
M-303,657,Changeover,LOT-0036,PRD-C,GroupC
M-202,159,Jam,LOT-0025,PRD-D,GroupB
M-301,235,Adjustment,LOT-0010,PRD-C,GroupC
M-101,72,Jam,LOT-0023,PRD-D,GroupA
M-202,37,Sensor Fault,LOT-0013,PRD-E,GroupB
M-202,49,Power Blip,LOT-0018,PRD-B,GroupB
M-102,85,Sensor Fault,LOT-0016,PRD-B,GroupA
M-101,77,Sensor Fault,LOT-0015,PRD-B,GroupA
M-101,187,Jam,LOT-0031,PRD-A,GroupA
M-103,160,Jam,LOT-0011,PRD-D,GroupA
M-303,504,Changeover,LOT-0019,PRD-C,GroupC
M-202,108,Sensor Fault,LOT-0006,PRD-E,GroupB
M-201,338,Changeover,LOT-0012,PRD-D,GroupB
M-103,7,Power Blip,LOT-0026,PRD-D,GroupA
M-103,60,Power Blip,LOT-0019,PRD-A,GroupA
M-101,313,Jam,LOT-0007,PRD-C,GroupA
M-202,856,Changeover,LOT-0034,PRD-D,GroupB
M-103,539,Material Shortage,LOT-0018,PRD-B,GroupA
M-102,769,Changeover,LOT-0017,PRD-B,GroupA
M-101,111,Sensor Fault,LOT-0019,PRD-E,GroupA
M-201,123,Jam,LOT-0028,PRD-E,GroupB
M-301,44,Jam,LOT-0012,PRD-B,GroupC
M-303,554,Changeover,LOT-0001,PRD-C,GroupC
M-302,88,Jam,LOT-0022,PRD-C,GroupC
M-101,201,Jam,LOT-0016,PRD-A,GroupA
M-102,463,Changeover,LOT-0026,PRD-E,GroupA
M-202,91,Sensor Fault,LOT-0019,PRD-C,GroupB
M-201,54,Jam,LOT-0031,PRD-B,GroupB
M-303,87,Sensor Fault,LOT-0024,PRD-D,GroupC
M-303,411,Operator Break,LOT-0016,PRD-E,GroupC
M-102,840,Changeover,LOT-0024,PRD-A,GroupA
M-102,160,Jam,LOT-0033,PRD-B,GroupA
M-103,153,Jam,LOT-0029,PRD-A,GroupA
M-201,72,Sensor Fault,LOT-0006,PRD-E,GroupB
M-303,524,Material Shortage,LOT-0009,PRD-E,GroupC
M-302,359,Changeover,LOT-0036,PRD-D,GroupC
M-202,60,Sensor Fault,LOT-0017,PRD-A,GroupB
M-201,692,PM-Scheduled,LOT-0028,PRD-C,GroupB
M-102,361,Changeover,LOT-0005,PRD-D,GroupA
M-101,118,Jam,LOT-0009,PRD-D,GroupA
M-301,992,Unplanned Stop,LOT-0029,PRD-D,GroupC
M-302,158,Jam,LOT-0009,PRD-C,GroupC
M-102,157,Jam,LOT-0026,PRD-E,GroupA
M-103,38,Sensor Fault,LOT-0001,PRD-A,GroupA
M-202,857,Changeover,LOT-0028,PRD-E,GroupB
M-302,313,Material Shortage,LOT-0030,PRD-C,GroupC
M-103,48,Jam,LOT-0003,PRD-D,GroupA
M-101,66,Jam,LOT-0007,PRD-E,GroupA
M-101,349,Changeover,LOT-0016,PRD-A,GroupA
M-302,852,Changeover,LOT-0014,PRD-A,GroupC
M-103,596,Changeover,LOT-0015,PRD-E,GroupA
M-301,1256,PM-Scheduled,LOT-0016,PRD-C,GroupC
M-103,593,Unplanned Stop,LOT-0015,PRD-D,GroupA
M-202,162,Jam,LOT-0038,PRD-B,GroupB
M-302,696,PM-Scheduled,LOT-0023,PRD-D,GroupC
M-301,62,Sensor Fault,LOT-0010,PRD-C,GroupC
M-302,157,Jam,LOT-0031,PRD-B,GroupC
M-201,447,Changeover,LOT-0030,PRD-A,GroupB
M-302,172,Adjustment,LOT-0034,PRD-B,GroupC
M-302,72,Jam,LOT-0022,PRD-A,GroupC
